"date","close","volume","open","high","low"
"16:00","125.27","5,797,253","125.33","126.43","124.71"
"2016/02/02","125.2700","5830704.0000","125.4100","126.4300","124.7100"
"2016/02/01","126.5100","4616858.0000","124.9200","127.0900","123.9900"
"2016/01/29","125.7600","7616144.0000","123.1700","125.7600","122.7500"
"2016/01/28","122.2800","4868943.0000","121.9700","122.6900","120.3100"
"2016/01/27","121.5700","5407642.0000","122.4600","124.3200","120.8600"
"2016/01/26","122.2000","4469344.0000","121.7300","122.4500","120.6400"
"2016/01/25","121.7100","4848860.0000","123.3800","123.8500","121.5600"
"2016/01/22","122.7600","6553875.0000","121.6400","124.6700","121.5800"
"2016/01/21","120.2200","8992723.0000","117.3800","121.9400","117.1400"
"2016/01/20","116.4600","11329730.0000","117.8900","118.6600","113.5865"
"2016/01/19","119.7600","6343204.0000","120.5400","121.8900","118.8000"
"2016/01/15","119.2300","10514790.0000","117.1200","121.1500","116.1000"
"2016/01/14","119.6200","13380210.0000","121.2900","121.5150","118.2000"
"2016/01/13","121.4000","8915501.0000","127.4700","127.4700","120.9700"
"2016/01/12","127.4900","5686249.0000","126.7800","128.8000","125.8300"
"2016/01/11","125.7800","6784380.0000","124.8700","126.0800","124.0900"
"2016/01/08","123.9000","7094629.0000","126.4400","126.5300","123.5000"
"2016/01/07","125.4000","12542370.0000","126.9300","127.8800","124.7000"
"2016/01/06","129.0800","8198704.0000","129.0000","129.9000","128.5600"
"2016/01/05","130.4300","5316011.0000","131.1500","131.9400","130.0500"
"2016/01/04","131.0700","8046245.0000","130.1100","131.0700","129.4500"
"2015/12/31","132.2500","3178722.0000","133.0800","133.5684","132.2400"
"2015/12/30","133.3500","2484809.0000","133.5800","134.0600","133.2800"
"2015/12/29","133.7000","3037199.0000","133.3700","134.3299","133.2760"
"2015/12/28","132.6800","2607218.0000","132.2500","132.9000","131.8900"
"2015/12/24","132.9000","1517075.0000","132.8000","133.4800","132.6600"
"2015/12/23","133.1100","3240828.0000","132.4900","133.3400","131.8800"
"2015/12/22","131.8800","3398101.0000","131.3700","132.2815","130.4600"
"2015/12/21","131.3100","3409668.0000","131.0000","131.6100","130.1800"
"2015/12/18","130.2900","9807483.0000","130.7300","131.3100","130.0150"
"2015/12/17","131.3500","4342642.0000","133.0600","133.5400","130.9950"
"2015/12/16","132.9000","4707901.0000","132.1700","133.2800","130.3600"
"2015/12/15","131.2900","4921673.0000","132.6200","133.4900","131.1900"
"2015/12/14","132.0100","5954492.0000","131.0900","132.1255","130.7100"
"2015/12/11","130.4400","5300539.0000","131.0900","132.1900","130.3100"
"2015/12/10","132.5400","4186201.0000","131.9600","133.5900","131.8000"
"2015/12/09","131.9000","5054959.0000","133.2100","134.7800","131.5100"
"2015/12/08","133.8400","4731195.0000","132.7100","134.5600","132.4100"
"2015/12/07","133.9300","5443157.0000","134.0000","134.7900","133.1896"
"2015/12/04","134.5300","5386788.0000","131.5500","134.8299","131.3500"
"2015/12/03","130.9300","6687458.0000","133.5200","134.1200","130.8000"
"2015/12/02","133.8100","5021711.0000","134.5600","134.6500","133.5700"
"2015/12/01","134.4300","5267125.0000","133.5200","134.6300","133.2600"
"2015/11/30","133.8800","7922742.0000","135.2000","135.3200","133.0100"
"2015/11/27","134.7400","3337790.0000","134.8100","135.4700","134.5300"
"2015/11/25","134.6500","5299413.0000","133.6900","135.2400","133.5500"
"2015/11/24","133.6000","6670001.0000","131.9300","133.9300","131.7400"
"2015/11/23","132.5000","6328626.0000","130.2100","132.6400","130.2100"
